Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,Bestbench(kg)
F,Raw,30.0,63.7,112.5,157.5,72.5
F,Raw,20.5,62.9,115.0,120.0,62.5
M,Raw,19.0,88.6,215.0,265.0,127.5
F,Raw,24.5,57.0,100.0,127.5,60.0
M,Raw,20.5,73.85,187.5,220.0,122.5
F,Raw,30.5,61.7,130.0,145.0,67.5
M,Raw,40.0,98.3,180.0,210.0,130.0
M,Single-ply,18.5,72.3,217.5,212.5,167.5
M,Wraps,29.0,104.6,247.5,275.0,172.5
M,Multi-ply,54.0,107.4,250.0,197.5,202.5
F,Raw,44.0,65.4,82.5,112.5,55.0
M,Raw,19.5,104.62,265.0,270.0,185.0
M,Raw,21.5,83.0,215.0,222.5,125.0
M,Raw,25.5,95.6,187.5,197.5,137.5
M,Raw,27.5,82.99,225.0,267.5,152.5
M,Wraps,24.0,69.7,145.0,165.0,90.0
M,Wraps,40.0,98.0,172.5,190.0,137.5
M,Raw,29.5,95.6,162.5,175.0,100.0
F,Raw,20.5,50.3,97.5,127.5,60.0
F,Wraps,32.0,79.6,155.0,155.0,82.5
M,Single-ply,21.0,69.4,222.5,237.5,120.0
M,Raw,50.5,73.13,175.0,212.5,179.0
M,Raw,26.0,108.9,292.5,232.5,205.0
M,Raw,23.0,105.32,205.0,222.5,125.0
F,Raw,37.5,86.6,80.0,110.0,50.0
F,Wraps,33.5,50.5,95.0,125.0,60.0
F,Wraps,27.0,68.5,82.5,115.0,55.0
M,Multi-ply,50.0,100.0,317.51,272.16,154.22
M,Raw,42.5,81.7,185.0,215.0,117.5
F,Wraps,40.0,127.6,140.0,140.0,87.5
M,Single-ply,32.5,67.42,280.0,310.0,155.0
F,Single-ply,23.5,59.6,115.0,117.5,65.0
M,Wraps,21.0,119.98,295.0,290.0,152.5
F,Raw,27.0,80.8,117.0,140.0,57.5
M,Raw,40.0,98.8,185.0,220.0,120.0
F,Raw,22.0,58.6,82.5,117.5,62.5
M,Raw,22.5,100.2,210.0,270.0,140.0
M,Raw,45.5,73.88,182.5,195.0,152.5
M,Wraps,22.0,102.51,220.0,215.0,125.0
F,Raw,20.5,62.34,122.5,142.5,80.0
M,Single-ply,21.5,75.0,290.0,285.0,170.0
M,Wraps,24.5,82.74,199.58,206.38,117.93
M,Raw,20.5,78.5,177.5,230.0,77.5
M,Raw,20.0,81.01,195.0,272.5,140.0
M,Raw,21.5,98.72,185.0,210.0,105.0
M,Raw,37.0,101.7,192.5,232.5,160.0
M,Raw,24.0,78.6,235.0,307.5,150.0
M,Raw,21.5,82.75,195.0,230.0,115.0
M,Wraps,50.0,109.1,255.0,225.0,155.0
M,Raw,21.5,99.9,215.0,242.5,127.5
M,Raw,15.5,90.0,110.0,152.5,72.5
M,Raw,14.5,72.94,150.0,165.0,95.0
M,Raw,21.0,81.6,182.5,240.0,142.5
M,Wraps,26.0,88.6,220.0,240.0,190.0
F,Raw,54.5,107.59,145.0,197.5,65.0
M,Raw,24.0,97.6,230.0,250.0,152.5
M,Single-ply,22.5,81.2,290.0,257.5,190.0
M,Raw,17.0,66.9,130.0,192.5,105.0
M,Single-ply,21.5,82.65,315.0,292.5,227.5
M,Wraps,42.0,97.61,215.46,238.14,149.69
M,Raw,25.0,110.0,190.0,255.0,132.5
F,Raw,30.5,70.75,122.5,120.0,65.0
M,Wraps,25.0,89.36,237.5,207.5,150.0
M,Raw,29.5,118.5,207.5,247.5,102.5
M,Raw,27.0,80.0,180.0,185.0,110.0
F,Raw,38.0,60.0,85.0,120.0,50.0
F,Wraps,34.0,55.97,108.86,140.61,56.7
M,Raw,25.0,97.7,192.5,220.0,130.0
F,Raw,54.5,62.45,112.5,182.5,77.5
M,Wraps,23.0,86.64,195.04,226.8,129.27
F,Multi-ply,25.0,57.29,100.0,147.5,52.5
M,Wraps,52.0,139.6,247.5,245.0,130.0
M,Raw,24.5,72.8,245.0,222.5,160.0
F,Wraps,37.0,65.6,110.0,120.0,55.0
M,Wraps,13.0,58.06,92.5,130.0,52.5
M,Wraps,51.0,89.8,147.5,185.0,137.5
M,Wraps,44.0,90.35,182.5,215.0,137.5
M,Raw,14.0,58.7,127.5,125.0,60.0
M,Raw,18.5,81.1,155.0,202.5,100.0
M,Raw,18.0,74.2,207.5,265.0,127.5
F,Wraps,24.0,67.59,137.5,167.5,75.0
F,Raw,20.5,60.96,97.5,117.5,60.0
M,Raw,15.5,83.2,140.0,170.0,95.0
F,Raw,23.0,47.72,85.0,125.0,62.5
M,Wraps,23.0,97.85,255.0,247.5,140.0
M,Wraps,22.0,84.73,157.5,200.0,115.0
M,Raw,53.5,99.0,200.0,220.0,120.0
F,Wraps,19.0,62.3,97.5,115.0,52.5
F,Raw,17.0,58.33,77.5,120.0,47.5
M,Single-ply,32.0,98.5,262.5,252.5,175.0
F,Raw,22.5,79.2,107.5,137.5,67.5
M,Raw,27.0,59.69,147.5,193.0,97.5
M,Wraps,42.0,82.2,230.0,250.0,142.5
F,Raw,25.5,62.28,132.5,132.5,75.0
M,Single-ply,17.5,88.0,205.0,230.0,102.5
M,Raw,28.0,87.4,157.5,205.0,117.5
F,Wraps,40.0,59.1,110.0,140.0,50.0
M,Raw,24.0,88.3,185.0,227.5,125.0
M,Wraps,21.0,117.93,215.0,245.0,130.0
F,Raw,25.0,67.36,100.0,155.0,67.5
M,Single-ply,20.5,73.7,192.5,207.5,115.0
M,Single-ply,28.0,111.13,197.43,227.48,204.91
F,Raw,30.0,59.9,92.5,142.5,65.0
M,Wraps,20.0,80.2,200.0,227.5,137.5
M,Raw,30.5,115.0,225.0,275.0,135.0
F,Raw,22.0,81.55,182.5,202.5,85.0
M,Multi-ply,33.0,107.77,340.0,282.5,232.5
M,Wraps,28.0,93.95,160.0,190.0,105.0
M,Single-ply,26.5,125.2,282.5,250.0,197.5
F,Raw,26.0,71.5,145.0,170.0,95.0
M,Raw,24.5,80.4,242.5,247.5,147.5
F,Raw,48.5,106.7,90.0,142.5,67.5
F,Multi-ply,48.0,65.4,162.5,160.0,77.5
F,Raw,23.0,71.6,107.5,125.0,57.5
M,Raw,22.5,74.3,157.5,200.0,117.5
M,Raw,44.0,73.9,200.0,242.5,126.0
F,Raw,49.0,79.6,67.5,127.5,47.5
F,Raw,20.5,54.9,105.0,110.0,50.0
M,Raw,18.0,74.3,195.0,225.0,130.0
M,Wraps,24.0,107.8,295.0,302.5,165.0
M,Raw,35.0,81.69,137.5,167.5,107.5
M,Raw,32.0,139.7,252.5,295.0,180.0
M,Raw,34.5,63.5,205.0,255.0,135.0
M,Wraps,27.0,99.79,283.5,267.62,158.76
M,Raw,23.5,89.3,225.0,295.0,157.5
M,Raw,19.5,74.0,190.0,220.0,130.0
F,Wraps,26.0,73.4,80.0,115.0,55.0
M,Raw,20.5,80.61,240.0,255.0,162.5
F,Raw,28.5,80.35,147.5,167.5,80.0
M,Raw,21.5,87.69,202.5,215.0,130.0
M,Raw,19.0,107.5,205.0,260.0,130.0
M,Raw,29.5,97.1,220.0,232.5,167.5
M,Single-ply,19.5,105.5,190.0,205.0,100.0
M,Wraps,23.0,88.63,212.51,255.01,127.5
M,Wraps,27.0,73.4,160.0,197.5,122.5
M,Wraps,28.0,111.67,160.0,175.0,90.0
F,Wraps,24.0,123.1,170.0,185.0,75.0
M,Wraps,26.0,80.85,172.5,202.5,127.5
M,Wraps,17.0,122.0,230.0,230.0,137.5
M,Wraps,55.0,116.57,257.5,215.0,142.5
M,Raw,27.5,106.5,252.5,277.5,155.0
M,Single-ply,45.0,99.38,142.5,227.5,110.0
M,Wraps,26.0,114.21,285.0,237.5,165.0
M,Single-ply,34.0,59.78,119.98,149.91,119.98
F,Wraps,26.0,74.39,213.19,204.12,90.72
M,Raw,27.5,92.4,175.0,215.0,122.5
M,Wraps,43.0,121.6,225.0,250.0,145.0
M,Wraps,31.0,132.2,162.5,190.0,102.5
F,Wraps,27.0,57.42,90.72,102.06,49.9
M,Raw,44.0,95.6,160.0,205.0,90.0
M,Raw,27.5,72.9,157.5,180.0,115.0
F,Raw,26.5,132.82,235.0,227.5,97.5
F,Raw,27.0,65.4,130.0,170.0,77.5
M,Multi-ply,40.0,99.25,332.5,282.5,217.5
F,Wraps,25.0,82.4,155.0,197.5,97.5
M,Raw,40.0,99.5,152.5,200.0,122.5
M,Raw,22.5,92.2,177.5,200.0,100.0
M,Raw,17.5,54.95,110.0,132.5,75.0
F,Wraps,18.5,51.1,72.5,105.0,35.0
F,Raw,51.0,59.25,72.5,110.0,47.5
M,Multi-ply,53.0,109.41,227.5,210.0,152.5
M,Single-ply,52.0,81.01,215.46,233.6,142.88
M,Raw,29.5,81.4,192.5,207.5,142.5
M,Single-ply,42.0,93.21,187.5,197.5,135.0
F,Single-ply,21.5,51.92,145.0,140.0,75.0
F,Single-ply,54.5,78.68,145.0,140.0,80.0
F,Wraps,32.0,74.84,145.0,192.5,77.5
F,Raw,43.5,56.9,130.0,137.5,65.0
M,Wraps,37.0,89.58,245.0,207.5,155.0
M,Raw,20.5,87.1,147.5,190.0,117.5
M,Raw,21.0,55.7,142.5,172.5,110.0
M,Single-ply,40.0,123.6,252.5,265.0,180.0
F,Raw,14.0,51.26,70.0,95.0,45.0
M,Raw,19.5,72.04,150.0,215.0,77.5
F,Wraps,20.0,61.1,145.0,152.5,72.5
F,Single-ply,24.5,60.0,220.0,200.0,125.0
M,Wraps,28.0,121.1,252.5,275.0,170.0
F,Raw,20.0,60.96,120.0,127.5,57.5
M,Raw,30.0,74.3,195.0,250.0,145.0
F,Raw,15.5,66.4,110.0,117.5,60.0
M,Raw,18.0,87.9,200.0,247.5,147.5
F,Raw,25.0,58.6,97.5,145.0,60.0
M,Wraps,26.0,67.5,200.0,230.0,150.0
M,Raw,24.0,130.4,160.0,247.5,162.5
M,Raw,20.0,69.98,82.5,120.0,75.0
M,Raw,38.0,87.82,145.0,205.0,122.52
M,Raw,24.0,108.1,190.0,227.5,137.5
M,Raw,21.0,89.3,205.0,285.0,132.5
M,Wraps,36.0,89.1,245.0,277.5,180.0
F,Raw,20.5,89.0,50.0,92.5,40.0
M,Raw,35.5,91.88,180.0,225.0,135.0
F,Raw,20.0,67.1,107.5,127.5,57.5
M,Single-ply,23.0,97.34,272.5,287.5,245.0
F,Raw,30.5,106.6,117.5,137.5,55.0
F,Single-ply,28.0,59.87,120.0,150.0,57.5
F,Raw,21.5,130.2,210.0,170.0,95.0
M,Wraps,23.0,99.7,205.0,252.5,137.5
M,Raw,28.5,106.9,172.5,185.0,117.5
M,Multi-ply,25.0,89.04,290.0,250.0,165.0
M,Single-ply,29.5,75.44,320.0,285.0,145.0
M,Raw,22.5,89.3,195.0,235.0,122.5
M,Raw,27.0,81.5,120.0,120.0,75.0
M,Single-ply,52.0,71.8,182.5,210.0,132.5
F,Wraps,43.0,61.01,57.5,85.0,55.0
M,Raw,20.0,67.15,142.5,187.5,95.0
M,Raw,19.5,101.9,197.5,205.0,140.0
M,Raw,23.0,99.4,215.0,272.5,182.5
M,Raw,20.5,90.7,227.5,272.5,152.5
M,Wraps,24.0,104.6,310.0,265.0,170.0
M,Raw,29.0,88.1,127.5,157.5,97.5
M,Raw,20.0,88.9,217.5,232.5,135.0
F,Wraps,28.0,58.4,122.5,162.5,70.0
M,Raw,31.5,77.4,130.0,177.5,97.5
F,Raw,17.5,71.4,137.5,115.0,67.5
M,Wraps,23.0,89.36,151.95,181.44,106.59
F,Raw,35.5,79.0,135.0,135.0,67.5
F,Raw,20.5,61.75,115.0,137.5,45.0
F,Raw,26.5,85.0,120.0,142.5,67.5
M,Wraps,21.0,66.3,152.5,220.0,100.0
M,Raw,38.5,103.6,260.0,300.0,177.5
M,Raw,35.0,115.3,142.5,155.0,97.5
F,Raw,36.5,56.35,110.0,152.5,65.0
M,Single-ply,22.5,91.7,267.5,282.5,182.5
M,Wraps,55.0,89.36,145.0,187.5,87.5
F,Wraps,16.0,50.8,98.0,102.5,55.0
M,Raw,16.5,102.91,245.0,270.5,150.0
M,Wraps,42.0,110.7,275.0,265.0,170.0
F,Wraps,46.0,54.95,95.0,115.0,55.0
M,Raw,15.0,75.0,147.42,170.1,102.06
F,Raw,29.5,80.7,100.0,122.5,55.0
F,Single-ply,34.5,51.36,157.5,165.0,100.0
M,Wraps,17.0,84.8,185.0,237.5,135.0
F,Raw,35.5,61.08,130.0,172.5,82.5
M,Raw,20.5,72.7,177.5,197.5,120.0
F,Raw,27.0,63.3,90.0,130.0,60.0
M,Raw,15.5,56.09,140.0,170.0,80.0
F,Raw,19.0,63.7,92.5,107.5,52.5
M,Raw,33.0,125.4,265.0,305.0,220.0
M,Raw,26.0,73.6,197.5,227.5,132.5
F,Raw,22.5,69.06,115.0,120.0,65.0
F,Raw,28.0,84.91,155.0,165.5,77.5
M,Raw,15.5,58.5,162.5,192.5,87.5
F,Raw,21.0,73.3,120.0,150.0,62.5
M,Wraps,45.0,138.5,327.5,327.5,192.5
F,Wraps,32.0,59.06,106.59,133.81,61.23
M,Raw,30.5,117.3,265.0,305.0,187.5
M,Single-ply,23.0,81.3,227.5,240.0,125.0
M,Raw,15.0,67.3,125.0,162.5,95.0
F,Raw,22.5,60.5,132.5,145.0,85.0
F,Raw,31.5,92.7,92.5,157.5,52.5
M,Raw,28.0,105.9,217.5,237.5,155.0
M,Raw,17.5,65.08,152.5,200.0,132.5
F,Raw,47.5,77.9,105.0,130.0,55.0
M,Raw,27.0,145.35,275.0,285.0,195.0
F,Wraps,22.0,76.6,107.5,145.0,52.5
F,Raw,46.5,56.7,130.0,157.5,75.0
F,Raw,21.5,46.8,80.0,117.5,87.5
M,Raw,24.5,63.75,155.0,180.0,102.5
F,Raw,22.5,61.2,95.0,112.5,50.0
F,Raw,20.0,59.8,122.5,152.5,72.5
F,Raw,29.0,60.0,75.0,92.5,35.0
M,Wraps,27.0,109.05,322.5,305.0,205.0
M,Raw,19.0,88.0,227.5,250.0,130.0
M,Wraps,32.0,108.0,210.0,250.0,125.0
F,Raw,30.5,96.1,115.0,137.5,50.0
M,Raw,30.5,101.0,160.0,212.5,110.0
M,Raw,24.0,82.0,200.0,205.0,112.5
F,Single-ply,24.5,83.69,200.0,160.0,117.5
M,Raw,22.0,87.0,237.5,232.5,140.0
F,Wraps,29.0,58.4,110.0,137.5,60.0
F,Raw,37.0,103.87,130.0,175.0,80.0
M,Single-ply,18.5,71.8,200.0,210.0,112.5
M,Wraps,38.0,123.4,200.0,235.0,170.0
M,Raw,36.0,97.7,165.0,210.0,112.5
M,Raw,40.0,106.68,142.5,185.0,82.5
M,Raw,20.0,73.5,197.5,220.0,102.5
M,Raw,27.5,72.3,165.0,205.0,105.0
M,Raw,17.5,91.8,160.0,187.5,77.5
M,Wraps,35.0,67.13,138.35,165.56,95.25
F,Raw,29.0,66.8,145.0,152.5,72.5
M,Raw,20.5,79.2,205.0,250.0,120.0
F,Raw,18.5,69.9,117.5,122.5,57.5
M,Raw,23.0,106.2,180.0,227.5,130.0
M,Wraps,23.0,102.6,212.5,240.0,142.5
M,Raw,27.0,89.99,275.0,280.0,145.0
F,Raw,13.5,116.9,40.8,79.4,40.8
M,Raw,15.0,67.5,133.81,154.22,77.11
M,Raw,18.5,80.7,200.0,237.5,157.5
M,Wraps,24.0,59.8,147.5,210.0,110.0
M,Raw,26.0,110.4,227.5,227.5,150.0
M,Raw,26.0,113.5,242.5,230.0,138.0
F,Raw,43.0,59.9,112.5,112.5,82.5
M,Wraps,28.0,99.5,250.0,257.5,152.5
M,Single-ply,29.0,88.9,240.0,245.0,150.0
M,Raw,35.5,102.5,180.0,220.0,107.5
M,Raw,36.5,117.61,285.0,302.5,175.0
M,Raw,22.5,106.1,195.0,257.5,115.0
F,Raw,21.5,56.2,92.5,92.5,42.5
M,Raw,29.5,92.1,185.0,202.5,125.0
M,Raw,21.0,58.0,177.5,232.5,137.5
M,Raw,18.5,137.6,250.0,287.5,130.0
M,Single-ply,27.0,80.45,220.0,260.0,130.0
M,Raw,17.0,98.07,220.0,197.5,137.5
M,Raw,21.0,76.3,135.0,175.0,92.5
M,Raw,36.0,127.5,192.5,210.0,190.0
M,Raw,26.0,74.35,182.5,195.0,125.0
M,Raw,22.0,74.43,187.5,227.5,130.0
M,Raw,28.0,121.29,300.0,272.5,205.0
F,Raw,27.5,45.7,65.0,100.0,47.5
M,Raw,23.5,94.5,172.5,210.0,105.0
M,Raw,26.0,98.9,237.5,262.5,162.5
F,Raw,31.0,73.7,142.5,152.5,80.0
M,Raw,31.5,89.4,210.0,235.0,172.5
M,Wraps,38.0,96.1,220.0,247.5,165.0
M,Raw,24.0,90.13,200.0,272.5,157.5
M,Raw,22.5,89.9,195.0,205.0,127.5
M,Raw,23.5,89.8,210.0,240.0,127.5
M,Wraps,21.0,82.01,207.5,242.5,125.0
M,Raw,16.0,74.48,160.0,160.0,107.5
M,Single-ply,22.5,83.9,245.0,227.5,117.5
M,Single-ply,26.5,82.68,360.0,320.0,245.0
M,Raw,33.0,109.3,195.0,200.0,162.5
F,Raw,25.5,67.0,142.5,142.5,70.0
M,Raw,20.5,105.4,187.5,232.5,130.0
F,Wraps,41.0,87.5,115.0,175.0,67.5
M,Raw,26.0,124.35,267.5,305.0,185.0
M,Wraps,50.0,97.6,222.5,230.0,135.0
M,Raw,21.5,72.15,112.5,155.0,77.5
F,Raw,16.5,78.4,112.5,135.0,57.5
M,Raw,26.5,82.1,180.0,195.0,120.0
M,Raw,40.5,103.3,260.0,250.0,182.5
M,Single-ply,30.5,58.51,125.0,140.0,95.0
M,Wraps,19.0,73.2,132.5,167.5,92.5
F,Raw,39.0,87.9,182.5,225.0,137.5
M,Raw,24.5,79.75,190.0,242.5,142.5
F,Raw,35.0,109.6,182.5,177.5,92.5
M,Raw,29.0,108.77,287.5,315.0,180.0
M,Wraps,38.0,109.32,254.01,226.8,210.92
M,Raw,20.0,70.7,165.0,165.0,107.5
M,Wraps,52.0,99.2,140.0,160.0,162.5
M,Wraps,32.0,103.0,307.5,277.5,170.0
F,Raw,15.0,67.35,87.5,115.0,60.0
M,Raw,28.0,87.5,282.5,302.5,167.5
M,Raw,19.5,56.4,125.0,160.0,90.0
M,Raw,34.0,96.9,197.5,227.5,125.0
F,Raw,21.0,58.7,87.5,125.0,57.5
M,Raw,25.5,73.45,230.0,252.5,135.0
M,Raw,13.5,70.99,120.0,140.0,70.0
M,Single-ply,54.0,88.99,140.0,157.5,167.5
M,Single-ply,51.0,88.8,210.0,240.0,157.5
M,Single-ply,24.5,98.59,285.0,255.0,240.0
M,Raw,31.5,100.9,215.0,245.0,142.5
F,Raw,36.0,54.5,87.5,120.0,60.0
F,Wraps,46.0,66.68,70.0,95.0,45.0
M,Raw,46.5,134.95,310.0,322.5,205.0
M,Raw,50.0,67.5,170.0,217.5,112.5
M,Single-ply,34.5,67.18,280.0,315.0,160.0
M,Wraps,51.0,124.96,340.19,317.51,249.48
M,Raw,18.0,80.7,167.83,229.06,117.93
F,Raw,32.5,46.9,110.0,140.0,91.5
M,Single-ply,32.0,107.32,292.5,250.0,200.0
M,Single-ply,44.0,88.6,285.0,265.0,220.0
M,Single-ply,23.5,76.9,145.0,185.0,80.0
M,Raw,17.0,117.12,275.0,220.0,102.5
F,Raw,28.5,81.4,102.5,117.5,62.5
M,Raw,21.5,73.93,212.5,255.0,150.0
M,Raw,25.0,74.7,145.0,212.5,165.0
M,Single-ply,24.0,87.77,225.0,240.0,135.0
M,Wraps,21.0,73.57,218.86,227.93,145.15
F,Raw,53.0,78.4,102.5,115.0,60.0
M,Raw,23.0,91.9,205.0,245.0,150.0
M,Multi-ply,32.0,100.0,235.0,240.0,160.0
F,Raw,18.5,51.0,100.0,127.5,50.0
M,Wraps,40.0,84.37,190.0,215.0,120.0
M,Wraps,23.5,82.1,260.0,225.0,150.0
F,Single-ply,26.5,57.79,192.5,197.5,135.0
F,Wraps,31.0,96.2,162.5,152.5,95.0
M,Wraps,22.0,93.8,255.0,245.0,137.5
M,Raw,28.5,145.3,325.0,320.0,182.5
M,Raw,26.5,85.3,170.0,230.0,115.0
F,Raw,31.0,64.2,130.0,142.5,67.5
M,Raw,26.5,77.74,205.0,227.5,127.5
F,Single-ply,21.5,107.1,205.0,160.0,105.0
M,Raw,31.0,80.8,190.0,262.5,150.0
F,Raw,28.5,71.6,87.5,100.0,45.0
F,Wraps,40.0,111.9,177.5,215.0,85.0
M,Raw,23.0,97.15,227.5,275.0,155.0
F,Raw,18.5,70.9,140.0,150.0,77.5
M,Raw,17.0,82.5,149.69,165.56,136.08
M,Wraps,31.0,99.3,260.0,265.0,170.0
M,Raw,22.5,73.95,175.0,200.0,110.0
M,Raw,30.5,131.5,302.5,330.0,210.0
M,Raw,26.5,97.3,190.0,235.0,140.0
M,Raw,15.5,65.6,112.5,142.5,72.5
M,Raw,37.5,78.2,185.0,210.0,132.5
F,Raw,23.5,81.0,90.0,102.5,45.0
M,Raw,21.5,64.43,147.5,192.5,117.5
M,Raw,49.5,103.7,170.0,275.0,145.0
F,Raw,22.5,62.34,120.0,150.0,70.0
F,Wraps,39.0,60.0,87.5,122.5,57.5
M,Raw,19.0,137.7,257.5,230.0,227.5
M,Single-ply,49.0,133.49,185.0,182.5,192.5
M,Raw,23.0,73.39,162.5,245.0,102.5
M,Raw,34.0,86.2,190.0,207.5,125.0
M,Raw,38.5,81.5,190.0,245.0,100.0
M,Single-ply,35.5,92.77,307.5,250.0,230.0
M,Raw,32.0,123.0,265.0,272.5,147.5
M,Raw,21.0,82.1,235.0,255.0,165.0
M,Single-ply,50.0,111.58,240.0,227.5,200.0
F,Raw,28.0,99.56,175.0,197.5,112.5
F,Raw,22.5,61.9,120.0,127.5,45.0
F,Raw,30.5,67.45,122.5,170.0,87.5
M,Raw,19.5,73.8,175.0,187.5,107.5
M,Raw,21.5,89.0,267.5,267.5,160.0
F,Raw,27.0,63.5,110.0,122.5,60.0
M,Raw,17.5,67.4,105.0,150.0,70.0
M,Raw,15.5,58.2,122.5,165.0,75.0
F,Raw,26.0,51.1,117.5,152.5,60.0
M,Wraps,46.0,87.85,190.0,217.5,137.5
M,Raw,32.0,122.74,245.0,272.5,180.0
F,Single-ply,15.5,75.52,115.7,131.5,45.4
F,Raw,19.0,63.5,95.0,122.5,42.5
M,Wraps,14.0,64.8,110.0,137.5,62.5
F,Raw,21.5,61.5,122.5,142.5,70.0
M,Single-ply,42.0,122.0,282.5,245.0,227.5
F,Raw,21.0,59.0,142.5,157.5,72.5
F,Wraps,30.0,64.7,90.0,95.0,57.5
M,Raw,47.5,101.4,195.0,252.5,155.0
M,Single-ply,22.0,79.3,255.0,242.5,140.0
M,Raw,23.5,65.7,190.0,245.5,110.0
M,Raw,27.5,92.2,182.5,242.5,152.5
M,Raw,28.5,70.4,190.0,222.5,127.5
M,Raw,19.5,69.3,165.0,217.5,122.5
M,Wraps,23.0,81.65,175.0,212.5,120.0
M,Single-ply,22.5,82.28,231.3,272.2,149.7
M,Raw,19.5,79.0,192.5,227.5,125.0
M,Raw,21.0,97.75,275.0,290.0,167.5
M,Raw,20.5,118.5,190.0,210.0,102.5
F,Raw,22.5,74.9,105.0,130.0,55.0
M,Raw,17.0,72.8,160.5,192.5,72.5
M,Raw,17.0,66.4,122.5,115.0,77.5
M,Raw,19.5,93.0,190.0,225.0,147.5
F,Raw,25.0,50.9,112.5,130.0,50.0
M,Wraps,22.0,105.4,282.5,292.5,160.0
F,Raw,33.5,62.6,120.0,145.0,57.5
M,Wraps,22.0,133.99,367.5,315.0,230.0
M,Raw,23.0,109.9,222.5,255.0,125.0
F,Raw,32.0,65.9,80.0,115.0,55.0
F,Raw,20.5,51.0,95.0,122.5,45.0
M,Single-ply,16.5,73.3,205.0,190.0,130.0
F,Raw,26.5,111.0,152.5,162.5,75.0
M,Raw,17.5,58.64,175.0,152.5,82.5
M,Raw,18.0,85.37,182.5,182.5,102.5
M,Single-ply,31.5,58.06,300.0,260.0,201.0
M,Raw,23.5,91.7,170.0,205.0,120.0
M,Raw,22.0,81.2,195.0,227.5,142.5
M,Single-ply,22.5,91.62,250.0,290.0,162.5
M,Wraps,28.0,98.7,287.5,315.0,170.0
M,Single-ply,21.5,92.0,300.0,287.5,182.5
F,Raw,23.5,63.0,140.0,152.5,90.0
F,Single-ply,43.0,59.83,150.0,182.5,102.5
M,Raw,37.5,90.7,207.5,195.0,165.0
F,Raw,20.0,52.15,122.5,132.5,57.5
F,Raw,21.5,69.92,120.0,140.0,72.5
M,Wraps,15.0,88.8,150.0,200.0,92.5
F,Raw,29.0,82.5,127.5,145.0,73.0
M,Wraps,27.0,110.9,262.5,300.0,192.5
F,Wraps,33.0,77.4,160.0,180.0,97.5
F,Single-ply,50.5,62.0,140.0,137.5,77.5
M,Wraps,29.0,89.86,260.82,256.28,149.69
F,Wraps,54.0,67.5,117.93,142.88,63.5
F,Raw,24.5,55.4,125.0,160.0,67.5
M,Raw,19.0,81.1,162.5,227.5,80.0
M,Raw,36.5,141.68,290.0,220.0,200.0
F,Raw,25.0,70.9,122.5,137.5,57.5
M,Raw,50.0,132.63,102.5,160.0,127.5
M,Raw,19.5,103.4,245.0,300.0,157.5
F,Raw,27.0,81.3,130.0,160.0,55.0
M,Raw,21.0,88.9,330.0,355.0,192.5
M,Raw,20.0,70.4,195.0,265.0,137.5
F,Raw,34.0,62.14,90.0,122.5,65.0
M,Raw,29.0,80.6,140.0,172.5,75.0
F,Raw,18.5,51.96,110.0,110.0,47.5
M,Raw,19.0,88.1,250.0,247.5,135.0
M,Raw,29.0,89.8,170.0,200.0,112.5
M,Wraps,28.5,82.24,190.51,238.14,140.61
M,Wraps,25.0,108.8,242.5,320.0,177.5
F,Wraps,47.0,71.0,92.5,117.5,65.0
M,Single-ply,55.0,89.9,165.0,195.0,107.5
M,Raw,26.0,89.6,177.5,227.5,140.0
F,Raw,28.5,50.8,102.5,115.0,60.0
M,Raw,19.5,90.1,202.5,235.0,132.5
M,Raw,20.5,72.5,190.0,185.0,107.5
F,Raw,19.5,54.6,75.0,97.5,45.0
M,Raw,21.0,79.83,165.0,185.0,112.5
F,Single-ply,30.5,46.56,197.5,185.5,97.5
M,Wraps,31.0,98.3,212.5,232.5,150.0
M,Raw,21.5,89.8,187.5,185.0,95.0
M,Raw,38.0,89.18,157.5,227.5,122.5
M,Raw,24.5,71.8,215.0,262.5,117.5
M,Raw,30.5,91.8,207.5,232.5,182.5
F,Raw,33.5,56.4,77.5,87.5,32.5
M,Raw,50.0,141.52,202.5,182.5,147.5
M,Raw,23.5,83.0,202.5,242.5,135.0
M,Raw,22.0,95.21,297.5,302.5,187.5
M,Raw,19.5,72.8,215.0,245.0,157.5
M,Raw,21.5,73.92,237.5,257.5,150.0
F,Raw,40.0,85.0,102.5,145.0,57.5
F,Wraps,42.0,52.2,117.5,147.5,70.0
M,Raw,32.5,95.8,227.5,277.5,132.5
M,Wraps,27.0,108.2,305.0,290.0,165.0
M,Raw,17.5,59.15,162.5,167.5,85.0
M,Raw,24.5,91.75,145.0,155.0,102.5
F,Raw,29.0,66.0,112.5,132.5,60.0
F,Raw,14.5,84.6,80.0,105.0,55.0
F,Single-ply,22.0,55.11,130.0,137.5,62.5
M,Raw,22.0,80.8,210.0,240.0,140.0
M,Wraps,23.0,121.2,275.0,265.0,150.0
M,Raw,38.5,81.26,192.5,222.5,132.5
M,Raw,23.0,72.85,142.5,132.5,82.5
M,Wraps,19.0,115.48,182.5,232.5,150.0
M,Raw,20.0,62.6,122.5,172.5,82.5
M,Raw,22.0,65.18,107.5,152.5,90.0
M,Wraps,19.0,82.35,227.5,232.5,122.5
M,Wraps,27.0,106.8,320.0,287.5,185.0
M,Raw,32.5,92.3,225.0,290.0,155.0
