Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,Bestbench(kg)
F,Single-ply,21.5,51.54,177.5,162.5,92.5
M,Raw,39.0,137.8,230.0,230.0,152.5
M,Wraps,34.0,109.6,305.0,320.0,200.0
M,Wraps,38.0,137.2,350.0,335.0,225.0
M,Single-ply,17.0,92.4,285.0,240.0,182.5
M,Single-ply,25.5,103.76,335.0,302.5,240.0
M,Raw,33.5,101.2,182.5,215.0,112.5
F,Raw,21.5,71.5,125.0,147.5,95.0
M,Single-ply,39.5,109.3,125.0,200.0,150.0
F,Raw,54.0,57.42,77.5,95.5,47.5
F,Single-ply,15.5,43.82,63.5,72.6,27.2
M,Raw,40.0,124.0,205.0,205.0,155.0
M,Wraps,22.0,87.75,195.0,227.5,142.5
F,Raw,28.5,75.3,77.5,87.5,52.5
F,Raw,20.5,61.1,97.5,125.0,55.0
M,Single-ply,22.0,63.6,95.0,115.0,67.5
M,Raw,31.0,120.7,142.5,227.5,95.0
F,Single-ply,16.5,55.1,127.5,120.0,55.0
M,Raw,23.0,108.7,207.5,262.5,160.0
F,Raw,17.0,81.8,120.0,160.0,52.5
F,Raw,30.5,61.5,97.5,115.0,52.5
M,Raw,20.0,74.9,172.5,192.5,110.0
M,Wraps,34.0,89.18,215.0,265.0,145.0
M,Single-ply,22.5,65.96,205.0,220.0,137.5
M,Raw,23.0,89.99,230.0,272.5,125.0
M,Raw,22.0,88.22,155.0,245.0,127.5
F,Raw,26.5,68.0,115.0,147.5,82.5
F,Raw,47.5,93.43,200.0,175.0,102.5
M,Wraps,26.0,81.4,182.5,227.5,137.5
M,Raw,44.0,108.1,182.5,187.5,137.5
F,Raw,30.5,72.3,67.5,100.0,40.0
F,Wraps,23.0,81.6,182.5,182.5,115.0
M,Raw,20.0,81.74,202.5,232.5,132.5
M,Raw,19.0,66.4,162.5,202.5,90.0
M,Raw,36.0,89.86,220.0,283.5,138.5
M,Raw,24.0,104.24,160.0,202.5,137.5
M,Raw,27.5,113.1,205.0,230.0,130.0
M,Raw,39.0,107.37,177.5,192.5,85.0
F,Raw,36.0,81.8,132.5,147.5,77.5
F,Raw,41.0,68.5,100.0,120.0,60.0
M,Wraps,35.0,118.2,300.0,295.0,170.0
F,Raw,39.0,94.5,82.5,115.0,75.0
M,Raw,29.5,101.4,230.0,265.0,122.5
F,Raw,45.5,117.6,102.5,147.5,52.5
M,Raw,32.0,92.5,205.0,267.5,140.0
M,Wraps,37.0,124.47,202.5,212.5,140.0
F,Single-ply,32.5,61.11,175.0,185.0,90.0
M,Wraps,40.0,109.2,275.0,300.0,150.0
M,Raw,42.0,98.16,197.31,206.38,170.1
F,Raw,43.5,60.95,100.0,130.0,60.0
F,Wraps,29.0,65.9,120.0,130.0,65.0
M,Single-ply,14.5,104.6,235.0,227.5,115.0
F,Raw,17.5,121.6,165.0,142.5,70.0
F,Wraps,17.5,52.0,80.0,92.5,39.0
F,Single-ply,42.5,51.22,172.5,167.5,100.0
F,Raw,31.5,82.4,120.0,135.0,60.0
M,Raw,32.5,92.56,295.0,287.5,160.0
M,Raw,35.5,93.5,245.0,242.5,132.5
M,Raw,26.0,97.8,175.0,257.5,142.5
F,Single-ply,23.5,71.2,180.0,187.5,105.0
M,Wraps,26.0,97.0,247.5,260.0,187.5
M,Raw,22.0,72.39,117.93,170.1,92.99
M,Raw,30.5,73.1,195.0,245.0,115.0
M,Single-ply,16.5,73.4,145.0,170.0,85.0
M,Raw,24.0,88.6,220.0,242.5,122.5
M,Raw,29.0,73.2,187.5,197.5,140.0
M,Wraps,19.0,94.9,202.5,205.0,130.0
M,Wraps,29.5,93.39,274.42,238.14,158.76
M,Raw,31.0,67.4,157.5,185.0,140.0
M,Wraps,33.0,91.0,165.0,192.5,135.0
F,Raw,21.5,61.35,110.0,145.0,72.5
M,Single-ply,27.0,124.0,355.0,320.0,217.5
M,Raw,31.5,82.42,182.5,207.5,102.5
M,Raw,18.5,104.7,232.5,265.0,122.5
F,Wraps,20.0,58.0,112.5,127.5,67.5
M,Raw,36.0,107.8,192.5,260.0,147.5
M,Wraps,25.0,108.5,270.0,290.0,200.0
M,Raw,35.5,89.6,155.0,192.5,117.5
M,Wraps,33.0,89.0,262.5,265.0,165.0
M,Raw,18.5,78.8,152.5,187.5,97.5
F,Raw,39.5,51.54,125.0,127.5,62.5
M,Single-ply,17.0,87.0,120.0,170.0,77.5
M,Raw,34.5,81.1,212.5,227.5,120.0
M,Single-ply,24.5,73.57,255.0,225.0,160.0
M,Wraps,28.0,80.74,195.04,240.4,127.01
F,Raw,22.5,56.6,130.0,176.5,82.5
M,Wraps,31.0,136.08,242.67,272.16,183.7
F,Raw,25.0,71.3,125.0,165.0,55.0
M,Wraps,34.5,99.11,195.04,251.74,120.2
M,Single-ply,14.5,97.3,117.5,137.5,57.5
M,Raw,31.0,73.95,145.0,160.0,105.0
M,Raw,31.0,81.8,150.0,227.5,142.5
M,Raw,21.0,82.01,205.0,247.5,127.5
F,Raw,43.0,61.7,72.5,102.5,47.5
M,Wraps,28.0,81.3,75.0,230.0,145.0
F,Wraps,35.0,55.61,120.0,152.5,75.0
F,Raw,23.0,51.9,85.0,142.5,45.0
M,Raw,32.0,82.33,160.0,207.5,130.0
M,Raw,25.5,101.2,285.0,355.0,167.5
M,Wraps,27.0,100.0,330.0,350.0,192.5
M,Raw,33.0,83.8,182.5,230.0,145.0
M,Wraps,43.0,125.2,270.0,250.0,190.0
F,Raw,19.5,70.95,100.0,137.5,52.5
M,Raw,24.5,74.0,192.5,242.5,110.0
F,Raw,25.5,60.3,102.5,135.0,52.5
M,Wraps,43.0,88.4,255.0,277.5,135.0
M,Raw,36.0,122.0,232.5,285.0,175.0
M,Raw,21.5,72.0,162.5,200.0,140.0
M,Raw,22.5,58.48,172.5,220.0,135.0
F,Single-ply,38.0,88.68,192.5,190.0,142.5
F,Wraps,32.0,53.75,56.7,88.45,38.56
M,Raw,17.0,75.0,149.69,142.88,97.52
M,Single-ply,49.5,117.1,345.0,280.0,212.5
M,Raw,17.5,65.46,155.0,185.0,95.0
F,Wraps,24.0,73.48,124.74,117.93,63.5
F,Raw,35.0,54.48,100.0,132.5,45.0
M,Raw,20.5,77.2,165.0,217.5,130.0
M,Raw,23.5,87.0,182.5,225.0,120.0
M,Raw,31.0,87.0,207.5,207.5,150.0
F,Raw,22.5,56.07,125.0,150.0,67.5
F,Raw,23.5,65.2,125.0,140.0,80.0
M,Raw,34.0,104.1,200.0,247.5,130.0
M,Wraps,37.0,87.8,242.5,265.0,157.5
F,Raw,40.5,74.1,147.5,147.5,77.5
M,Wraps,19.0,81.9,227.5,227.5,125.0
F,Wraps,45.0,58.88,117.5,125.0,72.5
M,Raw,27.5,92.55,220.0,275.0,145.0
F,Raw,31.5,59.4,155.0,157.5,90.0
F,Raw,14.5,67.87,110.0,135.0,57.5
F,Raw,33.0,58.6,100.0,152.5,55.0
M,Raw,23.0,88.0,217.5,225.0,142.5
M,Raw,30.0,92.1,175.0,222.5,97.5
M,Raw,17.5,115.5,190.0,220.0,107.5
F,Wraps,22.0,66.0,95.0,130.0,57.5
M,Wraps,16.0,80.65,217.5,235.0,137.5
F,Wraps,37.0,49.67,65.0,112.5,55.0
F,Wraps,28.0,79.8,92.5,132.5,50.0
M,Raw,43.5,91.8,200.0,220.0,120.0
M,Wraps,40.0,98.3,242.5,267.5,160.0
M,Raw,34.5,100.3,165.0,232.5,135.0
M,Wraps,32.0,115.67,330.0,297.5,210.0
M,Raw,32.5,103.1,227.5,267.5,135.0
F,Raw,30.0,73.48,107.5,162.5,65.0
M,Raw,32.5,102.4,140.0,240.0,130.0
M,Raw,32.0,72.4,167.5,202.5,120.0
M,Raw,39.5,73.5,172.5,202.5,112.5
